clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
451,0.29710147,0.056644294,0.17759244,0.41661048
452,0.0,,,
453,0.38049096,0.057261724,0.25910154,0.5018804
454,0.1395664,0.052096453,0.029652493,0.24948032
455,0.0,,,
456,0.11197917,0.067059286,-0.031848688,0.255807
457,0.025641026,0.025548937,-0.028520301,0.07980236
458,0.062393162,0.039217416,-0.021196777,0.1459831
459,0.017676769,0.018000359,-0.020300668,0.055654205
460,0.11111112,0.07336863,-0.047392175,0.2696144
461,0.04489338,0.04314326,-0.047064304,0.13685106
462,0.086419754,0.048758954,-0.017507493,0.190347
463,0.017580872,0.014455689,-0.013423497,0.048585244
464,0.025396826,0.025884869,-0.029775467,0.08056912
465,0.0,,,
466,0.2968254,0.07895838,0.12852962,0.4651212
467,0.31481484,0.08222858,0.13954878,0.4900809
468,0.22712418,0.05672875,0.107436985,0.34681138
469,0.11033951,0.06277809,-0.022110693,0.24278972
470,0.0,,,
471,0.17832649,0.062636934,0.046174105,0.31047887
472,0.30452678,0.07426164,0.1478484,0.46120515
473,0.07568438,0.04840743,-0.02644637,0.17781514
474,0.072822824,0.04983076,-0.034053523,0.17969918
475,0.07083333,0.03847205,-0.011167893,0.15283456
476,0.101265825,0.054613564,-0.013958722,0.21649037
477,0.13699496,0.068241425,-0.007670401,0.28166032
478,0.06679895,0.051845938,-0.043109536,0.17670743
479,0.11267606,0.045993634,0.015173913,0.2101782
480,0.18809524,0.06312762,0.054270662,0.32191983
481,0.37184346,0.061067868,0.24238536,0.5013015
482,0.09282701,0.051091526,-0.016753413,0.20240743
483,0.11813538,0.04973985,0.0131934695,0.2230773
484,0.0,,,
485,0.19402985,0.055237252,0.07629444,0.31176528
486,0.09950249,0.041176576,0.012627503,0.18637748
487,0.0925926,0.05211086,-0.018479068,0.20366426
488,0.08703704,0.04709895,-0.013980165,0.18805425
489,0.013513514,0.013880026,-0.01607106,0.04309809
490,0.37724018,0.07276596,0.2237174,0.5307629
491,0.120614044,0.063564986,-0.014137702,0.2553658
492,0.10141094,0.050731722,-0.0061355066,0.20895739
493,0.068627454,0.037558578,-0.010993176,0.14824808
494,0.17158933,0.07584096,0.011578894,0.33159974
